day_of_experiment,colony,colony_ID,dose,date,fourth_larvae
18,FLU,FLU3,9.1825,19/02/2024,0
22,FLU,FLU3,9.1825,23/03/2024,0
25,FLU,FLU3,9.1825,26/02/2024,0
29,FLU,FLU3,9.1825,30-02-2024,0
0,FLU,FLU4,0,01/02/2024,0
1,FLU,FLU4,9.1825,02/02/2024,0
4,FLU,FLU4,9.1825,05/02/2024,0
8,FLU,FLU4,9.1825,09/02/2024,0
11,FLU,FLU4,9.1825,12/02/2024,0
15,FLU,FLU4,9.1825,16/02/2024,0
18,FLU,FLU4,9.1825,19/02/2024,0
22,FLU,FLU4,9.1825,23/03/2024,1
25,FLU,FLU4,9.1825,26/02/2024,1
29,FLU,FLU4,9.1825,30-02-2024,1
0,FLU,FLU5,0,01/02/2024,0
1,FLU,FLU5,9.1825,02/02/2024,0
4,FLU,FLU5,9.1825,05/02/2024,0
8,FLU,FLU5,9.1825,09/02/2024,0
11,FLU,FLU5,9.1825,12/02/2024,0
15,FLU,FLU5,9.1825,16/02/2024,0
18,FLU,FLU5,9.1825,19/02/2024,0
22,FLU,FLU5,9.1825,23/03/2024,0
25,FLU,FLU5,9.1825,26/02/2024,1
29,FLU,FLU5,9.1825,30-02-2024,1
0,FLU,FLU6,0,01/02/2024,0
1,FLU,FLU6,9.1825,02/02/2024,0
4,FLU,FLU6,9.1825,05/02/2024,0
8,FLU,FLU6,9.1825,09/02/2024,0
11,FLU,FLU6,9.1825,12/02/2024,0
15,FLU,FLU6,9.1825,16/02/2024,0
18,FLU,FLU6,9.1825,19/02/2024,0
22,FLU,FLU6,9.1825,23/03/2024,1
25,FLU,FLU6,9.1825,26/02/2024,1
29,FLU,FLU6,9.1825,30-02-2024,1
0,FLU,FLU7,0,01/02/2024,0
1,FLU,FLU7,9.1825,02/02/2024,0
4,FLU,FLU7,9.1825,05/02/2024,0
8,FLU,FLU7,9.1825,09/02/2024,0
11,FLU,FLU7,9.1825,12/02/2024,0
15,FLU,FLU7,9.1825,16/02/2024,0
18,FLU,FLU7,9.1825,19/02/2024,0
22,FLU,FLU7,9.1825,23/03/2024,1
25,FLU,FLU7,9.1825,26/02/2024,1
29,FLU,FLU7,9.1825,30-02-2024,1
0,FLU,FLU8,0,01/02/2024,0
1,FLU,FLU8,9.1825,02/02/2024,0
4,FLU,FLU8,9.1825,05/02/2024,0
8,FLU,FLU8,9.1825,09/02/2024,0
11,FLU,FLU8,9.1825,12/02/2024,0
15,FLU,FLU8,9.1825,16/02/2024,0
18,FLU,FLU8,9.1825,19/02/2024,0
22,FLU,FLU8,9.1825,23/03/2024,1
25,FLU,FLU8,9.1825,26/02/2024,1
29,FLU,FLU8,9.1825,30-02-2024,1
0,FLU,FLU9,0,01/02/2024,0
1,FLU,FLU9,9.1825,02/02/2024,0
4,FLU,FLU9,9.1825,05/02/2024,0
8,FLU,FLU9,9.1825,09/02/2024,0
11,FLU,FLU9,9.1825,12/02/2024,0
15,FLU,FLU9,9.1825,16/02/2024,0
18,FLU,FLU9,9.1825,19/02/2024,0
22,FLU,FLU9,9.1825,23/03/2024,1
25,FLU,FLU9,9.1825,26/02/2024,1
29,FLU,FLU9,9.1825,30-02-2024,1
0,FLU,FLU10,0,01/02/2024,0
1,FLU,FLU10,9.1825,02/02/2024,0
4,FLU,FLU10,9.1825,05/02/2024,0
8,FLU,FLU10,9.1825,09/02/2024,0
11,FLU,FLU10,9.1825,12/02/2024,0
15,FLU,FLU10,9.1825,16/02/2024,0
18,FLU,FLU10,9.1825,19/02/2024,0
22,FLU,FLU10,9.1825,23/03/2024,0
25,FLU,FLU10,9.1825,26/02/2024,1
29,FLU,FLU10,9.1825,30-02-2024,1
